achieve achieved
cruz cruz
cut cut
cvl cvl
daly daly
dan dan
daniel daniel daniels
date dating
dave dave
david david
dawn dawn
day day days
deadlocked deadlocked
deadly deadliest deadly
december december
dedicate dedicated
dedication dedication
deed deeds
defeat defeat defeated
defense defenses
defensive defensive
definitive definitive
denis denis
dennis dennis
deploy deployed
depression depression
describe describing
description description
destroy destroyed
detroit detroit
devastate devastated
devil devil
diary diary
die died
diego diego
dig dig dug
direction direction
directly directly
discipline disciplined
discover discovered
distant distant
distinguish distinguished
division division divisions
dog dogs
domingo domingo
doughboy doughboy doughboys
dowswell dowswell
drab drab
duchene duchene
dunne dunne
dyer dyer
dyslexic dyslexic
eagle eagle
earle earle
early earlier
earn earned
earth earth
east east
eastern eastern
edc edc
eddy eddy
edge edge
educational educational
edward edward
edwin edwin
eisenhower eisenhower
element element elements
emmanuel emmanuel
encounter encountered
end end ending
enemy enemy
engage engaged
engagement engagement
engineer engineers
english english
enormous enormous
entirely entirely
entitle entitled
entrench entrenched
epic epic
ernest ernest
ernst ernst
escadrille escadrille
establish established establishing
estimate estimated
europe europe
euzelian euzelian
even even evening
event event
ever ever
exhaust exhausting
expeditionary expeditionary
expel expel
experience experiences
extend extending
fact facts
fail failed
failure failure
famous famous
far farther
farm farm
farwell farwell
fast fast
felix felix
fell fell
fellow fellows
fenster fenster
ferocious ferocious
field field fields
fiery fiery
fifth fifth
fight fight fighting fought
finally finally
find found
fire fire fired
first first
fist fists
five five
fix fixed
flank flanking flanks
flee fled
fleming fleming
follett follett
foothold foothold
force force forced forces
forearm forearm
foreign foreign
forest forest
forever forever
form formed
formerly formerly
forward forward
foster foster
fourrag fourrag
fourth fourth
france france
francis francis
frederic frederic
free free freed
french french
fritz fritz
front front
full fuller
fully fully
future future
gallantry gallantry
gap gap
gary gary
gas gas
gather gather gathered
general general
geographic geographic
geography geography
george george
german german germans
get got
give given giving
globe globe
go went
god god
government government
grain grain
grant grant
grave grave graves
great great
grind grind
guerre guerre
guilford guilford
gun gun guns
gunner gunner
gunnery gunnery
guthrie guthrie
haiti haiti
hallas hallas
hamilton hamilton
hand hand
harbord harbord
hard hard
hardy hardy
harlan harlan
hat hat
heart heart
heavy heavy
hell hell
hellhound hellhound
hellwood hellwood
help help
henry henry
heritage heritage
high high highest
highway highway
hill hill
historical historical
history history
hither hither
hoboken hoboken
hoffman hoffman
hold held hold holding
hole hole
honor honor honored honors
honorary honorary
hop hoping
horne horne
hospital hospital
hour hours
house house
however however
hughes hughes
hulbert hulbert
hunden hunden
hunt hunting
illustrate illustrated
immediately immediately
immortal immortal
inc inc
include included includes including
increase increasing
indicate indicated
indochina indochina
infantry infantry
infantryman infantrymen
information information
initial initial
initially initially
inside inside
institute institute
intelligence intelligence
interlock interlocked
intersection intersection
interview interview
introduce introduced
isolate isolated
iwo iwo
jaes jaes
jam james
jane jane
janson janson
jefferson jefferson
jima jima
joanne joanne
john john
joseph joseph
josephus josephus
joyce joyce
julius julius
july july
june june
jungle jungle
junior junior
kansa kansas
key key
kill killed killing
kilometer kilometer
kilometre kilometres
know known
lafayette lafayette
large large
late later
launch launched
laura laura
laurence laurence
lawrence lawrence
lay lay
lead led
leatherneck leatherneck
leave left
leckie leckie
legacy legacy
legend legend legends
lemuel lemuel
less less
lewis lewis
lha lha
liaison liaison
lieutenant lieutenant
light light
likely likely
line line lines
linn linn
live live
llenhunde llenhunde
lloyd lloyd
loan loaned
lore lore
lose lost
louis louis
lucent lucent
lucy lucy
lynne lynne
lyon lyons
lyric lyrics
machine machine
macmillan macmillan
macron macron
magazine magazine
major major
make made
malone malone
mann mann
many many
map maps
marble marble
march march
marigny marigny
marine marine marines
mark mark
marksman marksmen
marne marne
marrin marrin
martin martin
mat mater
maurice maurice
may may
mcclellan mcclellan
mcfarland mcfarland
mead mead
mean means
medal medal medals
member members
memoir memoir
memorial memorial
men men
mend mend
message messages
metal metal
metz metz
metzger metzger
michael michael
midnight midnight
military military
minneapolis minneapolis
miracle miracle
miss missed missing
mist mist
mobilization mobilization
modern modern
monolith monolith
month month
monument monument
moore moore
morning morning
mortally mortally
motto motto
move moved moving
mow mowed
mustard mustard
name name named names
narrow narrow
national national
naval naval
navy navy
near near
nearby nearby
nearly nearly
need need
nest nests
network network
new new
next next
nickname nickname
night night
nine nine
ninth ninth
north north
northeast northeast
northern northern
northward northward
norton norton
novato novato
november november
number number
oak oak
objective objective
observe observed
occasion occasions
occupy occupying
occur occurred
oclc oclc
offensive offensive
officer officer officers
official official
officiate officiating
often often
old old
olive olive
omanson omanson
omar omar
one one
open open opening
opponent opponents
opposite opposite
oral oral
order order ordered
origin origin
osprey osprey
others others
otto otto
outside outside
overall overall
overlook overlook overlooking
overrun overrunning
oxford oxford
pacific pacific
paris paris
part part parts
patriotism patriotism
pattullo pattullo
paul paul
peking peking
perform performed
pershing pershing
personal personal
personnel personnel
perspective perspectives
peter peter
phase phase
philippine philippines
photo photos
piece pieces
pike pike
place placed
plaque plaque
platoon platoons
plug plug
plus plus
point point points
polytechnic polytechnic
position position positions
post post
posthumously posthumously
predecessor predecessors
prepare preparing
present present presented
preserve preserve
president president
presidio presidio
press press
prevent prevent
princeton princeton
print prints
prisoner prisoner
private private
prompt prompted
prone prone
pub pub
publish publishing
publisher publishers
punch punch punched
push pushing
putnam putnam
quantico quantico
quantity quantities
queen queens
quotation quotations
quote quote quotes
racine racine
raise raised
random random
rapidly rapidly
rather rather
ray ray
reach reach
rear rear
receive receive
recipient recipient
reckless reckless
recognize recognize recognized
record recording
reduce reduced
refit refit
regardless regardless
regiment regiment regiments
regimental regimental
regnery regnery
reims reims
release released
relief relief
relieve relieved relieving
remainder remainder
remark remarked
remarkable remarkable
remember remember
remembrance remembrance
rename renamed
renew renewed
reorganize reorganized
repel repelled
replace replace
replacement replacements
report report
reserve reserve
reservoir reservoir
response response
rest rest
retort retort
retreat retreat
rice rice
richard richard
ridge ridge
rienner rienner
rifle rifle
right right
river river
road road roads
robert robert
run ran running
russian russian
sabaton sabaton
sacrifice sacrifice
san san
santo santo
sapling sapling
sarajevo sarajevo
saw saw
say said
scatter scattered
scout scout
sculpt sculpted
second second
section section
sector sector
seem seemed
self self
senegalese senegalese
senior senior
september september
sergeant sergeant
series series
serve served serving
service service
sessile sessile
seventh seventh
several several
shallow shallow
shannon shannon
sharpshooter sharpshooters
shatter shattered
shearer shearer
shepherd shepherd
shoot shoot
shorten shortened
shoulder shoulder
show showing
shrine shrine
sibley sibley
significance significance
similarly similarly
simmons simmons
simply simply
since since
sit sites
site site
six six
sixth sixth
sketchpad sketchpad
slaughter slaughtered
smash smashed
society society
soissons soissons
soldier soldiers
solely solely
son sons
song song
soon soon
south south
southern southern
span span
spiva spiva
spring spring
square square
stalling stallings
stand stand
star star stars
state state states stating
statue statue
steal stole
step step
stephenson stephenson
still still
stirnweis stirnweis
stop stop stopped
story stories story
street street
strength strength
strike strike
strong strong
studio studio
submit submitted
succeed succeeding
successfully successfully
successive successive
suffer suffered
sum summed
support support supported
surrender surrender
survive survive
survivor survivors
suskind suskind
sustain sustained
swedish swedish
sweep swept
take take taken took
taylor taylor
teau teau
temporary temporary
ten ten
tenacity tenacity
term term
terribly terribly
terry terry
teufel teufel
teufelshunde teufelshunde
text text
theater theater
thick thick
thierry thierry
thiolet thiolet
third third
thomas thomas
thompson thompson
three three
throughout throughout
time time times
tirailleurs tirailleurs
today today
together together
torcy torcy
total total
touchstone touchstone
toward toward
towards towards
track track
tree trees
trench trenches
triangle triangle
troop troops
true true
tulsa tulsa
turn turned turning
turrill turrill
twice twice
two two
uniform uniform
unit unit units
unite united
university university
unknown unknown
unprotected unprotected
us uss
use used using
utilize utilized
utter uttered
valois valois
valor valor
valuable valuable
vaux vaux
venzon venzon
vera vera
versailles versailles
version version
vessel vessels
veteran veteran veterans
vfw vfw
vigorous vigorous
violent violent
virginia virginia
visit visit
visitor visitors
visual visual
vivid vivid
voice voices
vol vol
vow vows
waist waist
wait waited
wake wake
wall wall
walter walter
want want
war war wars
warfare warfare
washington washington
wave waves
wayback wayback
weapon weapon
wear wear
webb webb
website website
weldon weldon
well well
west west
western western
westholme westholme
wheat wheat
white white
whitman whitman
whose whose
william william
williams williams
wilson wilson
wipe wiped
wire wire
wise wise
withdraw withdrawn
within within
wood wood woods
word words
world world
would would
wound wounded
wright wright
write wrote
wrong wrong
yank yanks
yard yards
yardley yardley
year years
york york
zenith zenith
